dataset,strategy,model,best_cv_f1,test_f1,test_precision,test_recall,best_params,train_size,test_size
with_nulls,smote,Random Forest,0.8671,0.6091,0.5982,0.6204,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",2400,409
with_nulls,smote,Gradient Boosting,0.848,0.5974,0.561,0.6389,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",2400,409
with_nulls,smote,Logistic Regression,0.847,0.5877,0.5583,0.6204,{'C': 1},2400,409
with_nulls,smote,SVM,0.848,0.5854,0.6186,0.5556,"{'C': 1, 'kernel': 'rbf'}",2400,409
with_nulls,smote,KNN,0.7766,0.4985,0.3648,0.787,"{'n_neighbors': 3, 'weights': 'distance'}",2400,409
with_nulls,smote,Gaussian Naive Bayes,0.7594,0.5029,0.3636,0.8148,{'var_smoothing': 1e-07},2400,409
without_nulls,smote,Random Forest,0.8642,0.5909,0.5702,0.6132,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",2298,393
without_nulls,smote,Gradient Boosting,0.8539,0.5524,0.5577,0.5472,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",2298,393
without_nulls,smote,Logistic Regression,0.852,0.5634,0.5607,0.566,{'C': 1},2298,393
without_nulls,smote,SVM,0.8559,0.5789,0.6548,0.5189,"{'C': 1, 'kernel': 'rbf'}",2298,393
without_nulls,smote,KNN,0.7656,0.5152,0.3795,0.8019,"{'n_neighbors': 3, 'weights': 'distance'}",2298,393
without_nulls,smote,Gaussian Naive Bayes,0.7638,0.5015,0.3689,0.783,{'var_smoothing': 1e-07},2298,393
