Category,undersample_RF,undersample_GB,undersample_LR,undersample_SVM,undersample_KNN,undersample_GNB,undersample_Best,weighted_RF,weighted_GB,weighted_LR,weighted_SVM,weighted_KNN,weighted_GNB,weighted_Best,smote_RF,smote_GB,smote_LR,smote_SVM,smote_KNN,smote_GNB,smote_Best
Overall,0.63,0.6,0.62,0.63,0.58,0.53,0.63,0.62,0.6,0.63,0.6,0.57,0.5,0.63,0.59,0.54,0.6,0.62,0.51,0.49,0.62
O1,0.5,0.5,0.49,0.5,0.44,0.38,0.5,0.52,0.51,0.5,0.5,0.45,0.35,0.52,0.44,0.5,0.51,0.47,0.4,0.38,0.51
O2,0.42,0.42,0.43,0.39,0.37,0.34,0.43,0.33,0.41,0.42,0.4,0.36,0.32,0.42,0.12,0.24,0.36,0.36,0.4,0.35,0.4
O3,0.43,0.44,0.47,0.45,0.37,0.33,0.47,0.47,0.5,0.48,0.51,0.31,0.29,0.51,0.27,0.33,0.44,0.38,0.31,0.31,0.44
O4,0.31,0.28,0.32,0.3,0.26,0.32,0.32,0.15,0.31,0.3,0.26,0.28,0.32,0.32,0.0,0.14,0.29,0.1,0.3,0.33,0.33
O5,0.3,0.32,0.35,0.36,0.3,0.32,0.36,0.22,0.3,0.29,0.3,0.32,0.26,0.32,0.1,0.11,0.28,0.14,0.25,0.28,0.28
O6,0.39,0.38,0.36,0.41,0.34,0.38,0.41,0.37,0.35,0.41,0.4,0.32,0.36,0.41,0.11,0.17,0.37,0.19,0.4,0.37,0.4
O7,0.27,0.25,0.28,0.27,0.21,0.27,0.28,0.11,0.26,0.22,0.28,0.19,0.24,0.28,0.0,0.06,0.23,0.03,0.21,0.24,0.24
O8,0.29,0.3,0.24,0.31,0.24,0.33,0.33,0.26,0.26,0.32,0.35,0.24,0.28,0.35,0.1,0.06,0.27,0.17,0.29,0.3,0.3
O9,0.38,0.36,0.39,0.33,0.32,0.4,0.4,0.21,0.3,0.26,0.1,0.33,0.4,0.4,0.02,0.08,0.28,0.3,0.37,0.4,0.4
O10,0.27,0.21,0.28,0.24,0.22,0.08,0.28,0.03,0.23,0.21,0.17,0.21,0.3,0.3,0.0,0.03,0.23,0.08,0.32,0.27,0.32
O11,0.25,0.28,0.21,0.22,0.21,0.25,0.28,0.2,0.3,0.27,0.29,0.2,0.24,0.3,0.0,0.14,0.23,0.17,0.19,0.25,0.25
O12,0.42,0.42,0.36,0.41,0.3,0.35,0.42,0.38,0.39,0.42,0.46,0.34,0.34,0.46,0.14,0.14,0.34,0.25,0.33,0.35,0.35
O13,0.25,0.28,0.28,0.27,0.27,0.3,0.3,0.13,0.31,0.26,0.29,0.23,0.26,0.31,0.09,0.12,0.23,0.11,0.24,0.25,0.25
O14,0.41,0.35,0.36,0.35,0.3,0.25,0.41,0.27,0.36,0.32,0.29,0.33,0.36,0.36,0.08,0.2,0.3,0.15,0.36,0.32,0.36
O15,0.26,0.27,0.25,0.31,0.27,0.24,0.31,0.2,0.25,0.28,0.24,0.28,0.26,0.28,0.04,0.07,0.21,0.12,0.28,0.27,0.28
O16,0.27,0.21,0.19,0.22,0.25,0.21,0.27,0.12,0.23,0.25,0.27,0.29,0.24,0.29,0.0,0.0,0.25,0.03,0.26,0.25,0.26
